invoice_no,customer_name,invoice_amount,invoice_date,payment_ref
INV-4928,Flipkart,2065.66,2026-08-20,
INV-4929,Reliance Retail Ltd,4634.07,2026-08-04,UTR8800429
INV-4930,Reliance Retail Ltd,1026.27,2026-08-03,UTR8800430
INV-4931,Swiggy Bundl Technologies,3086.63,2026-08-14,UTR8800431
INV-4932,Swiggy Bundl Technologies,2997.11,2026-08-05,UTR8800432
INV-4933,Nykaa E-Retail Pvt Ltd,3287.34,2026-07-31,UTR8800433
INV-4934,BigBasket Innovative Retail,4837.23,2026-08-15,UTR8800434
INV-4935,BigBasket Innovative Retail,3695.64,2026-08-06,UTR8800435
INV-4936,Zomato Ltd,1814.4,2026-08-17,UTR8800436
INV-4937,Nykaa E-Retail Pvt Ltd,3045.43,2026-08-14,UTR8800437
INV-4938,Flipkart,1705.5,2026-08-10,
INV-4939,Nykaa Fashion,2958.59,2026-08-02,
INV-4940,Reliance Digital,4436.64,2026-08-02,
INV-4941,Zomato Ltd,1444.45,2026-08-10,UTR8800441
INV-4942,Big Basket,1246.92,2026-08-07,
INV-4943,Reliance Retail Ltd,3185.86,2026-08-09,UTR8800443
INV-4945,Swiggy Bundl Technologies,3656.42,2026-08-03,UTR8800445
INV-4946,Zomato Ltd,3926.63,2026-08-16,UTR8800446
INV-4947,Reliance Digital,3325.16,2026-08-01,
INV-4951,Zomato Ltd,2726.22,2026-08-09,UTR8800451
INV-4952,Swiggy Foods,3047.64,2026-08-09,
INV-4953,Nykaa E-Retail Pvt Ltd,573.27,2026-08-05,UTR8800453
INV-4954,BigBasket Innovative Retail,1410.43,2026-08-03,UTR8800454
INV-4955,Reliance Retail Ltd,920.03,2026-08-02,UTR8800455
INV-4956,Swiggy Bundl Technologies,733.04,2026-08-07,UTR8800456
INV-4957,Flipkart Internet Pvt Ltd,504.89,2026-08-03,UTR8800457
INV-4958,Nykaa E-Retail Pvt Ltd,541.79,2026-08-03,UTR8800458
INV-4959,Nykaa E-Retail Pvt Ltd,818.73,2026-08-04,UTR8800459
INV-4961,Swiggy Bundl Technologies,807.85,2026-08-18,UTR8800461
INV-4962,Myntra Designs Pvt Ltd,3750.94,2026-08-04,UTR8800462
INV-4963,Nykaa Fashion,4369.83,2026-08-04,
INV-4964,BigBasket Innovative Retail,2081.91,2026-08-05,UTR8800464
INV-4965,Flipkart,1616.75,2026-08-19,
INV-4966,Reliance Retail Ltd,1424.51,2026-08-05,UTR8800466
INV-4967,Amazon Pvt Ltd,4027.11,2026-08-07,UTR8800467
INV-4969,Myntra Designs Pvt Ltd,1093.92,2026-08-18,UTR8800469
INV-4970,Swiggy Bundl Technologies,3932.27,2026-08-03,UTR8800470
INV-4971,Amazon Pvt Ltd,1679.83,2026-08-11,UTR8800471
INV-4972,BigBasket Innovative Retail,2406.09,2026-08-19,UTR8800472
INV-4974,Swiggy Bundl Technologies,2913.76,2026-08-19,UTR8800474
INV-4975,Flipkart Internet Pvt Ltd,1895.76,2026-08-08,UTR8800475
INV-4976,BigBasket Innovative Retail,1021.94,2026-08-01,UTR8800476
INV-4977,Swiggy Bundl Technologies,1037.49,2026-08-01,UTR8800477
INV-4978,Myntra Designs Pvt Ltd,2853.52,2026-08-09,UTR8800478
INV-4979,Reliance Digital,3798.21,2026-07-31,
INV-4980,Flipkart Internet Pvt Ltd,1683.27,2026-08-21,UTR8800480
INV-4981,Myntra Designs Pvt Ltd,749.48,2026-08-05,UTR8800481
INV-4982,Flipkart Internet Pvt Ltd,4524.21,2026-08-04,UTR8800482
INV-4983,Amazon Pvt Ltd,698.17,2026-08-08,UTR8800483
INV-4984,Big Basket,4641.02,2026-07-31,
INV-4985,Big Basket,1510.32,2026-08-10,
INV-4986,Flipkart,2759.18,2026-08-06,
INV-4987,BigBasket Innovative Retail,810.17,2026-08-09,UTR8800487
INV-4988,Nykaa E-Retail Pvt Ltd,535.86,2026-08-18,UTR8800488
INV-4989,Zomato Ltd,2587.67,2026-08-16,UTR8800489
INV-4990,Zomato Ltd,1177.55,2026-08-01,UTR8800490
INV-4991,Amazon Pvt Ltd,4779.46,2026-08-10,UTR8800491
INV-4992,Zomato Ltd,2389.17,2026-08-03,UTR8800492
INV-4993,Amazon Pvt Ltd,4645.73,2026-08-16,UTR8800493
INV-4994,Myntra Designs Pvt Ltd,2563.06,2026-08-19,UTR8800494
INV-4996,Zomato Media,1812.54,2026-08-11,
INV-4997,Nykaa Fashion,1723.8,2026-08-07,
INV-4998,Swiggy Bundl Technologies,975.46,2026-08-10,UTR8800498
INV-4999,Myntra Designs Pvt Ltd,4840.86,2026-08-09,UTR8800499
INV-5000,Flipkart Internet Pvt Ltd,906.89,2026-08-08,UTR8800500
