txn_date,utr_number,narration,amount,type
2026-08-06,UTR8800398,NEFT CR AMZN-PAY,4473.2300000000005,CR
2026-08-13,UTR8800399,NEFT CR AMZN-PAY,4840.15,CR
2026-08-01,UTR8800400,NEFT CR RELNCE,4314.21,CR
2026-08-11,UTR8800401,NEFT CR FLPKRT,4540.05,CR
2026-08-05,UTR8800402,NEFT CR NYKAA,4368.87,CR
2026-08-11,UTR8800403,NEFT CR ZOMATO,4017.54,CR
2026-08-01,UTR8800404,NEFT CR RELNCE,3623.55,CR
2026-08-07,UTR8800405,NEFT CR RELNCE,2964.89,CR
2026-08-17,UTR8800406,NEFT CR BIGBSKT,4096.91,CR
2026-08-05,UTR8800407,NEFT CR FLPKRT,1292.24,CR
2026-08-13,UTR8800408,NEFT CR ZOMATO,515.08,CR
2026-08-10,UTR8800409,NEFT CR RELNCE,4651.76,CR
2026-08-12,UTR8800410,NEFT CR AMZN-PAY,1627.52,CR
2026-08-06,UTR8800411,NEFT CR FLPKRT,2517.75,CR
2026-08-21,UTR8800412,NEFT CR RELNCE,3499.92,CR
2026-08-05,UTR8800413,NEFT CR ZOMATO,1442.24,CR
2026-08-18,UTR8800414,NEFT CR MYNTRA,2301.6600000000003,CR
2026-08-20,UTR8800415,NEFT CR ZOMATO,3812.48,CR
2026-08-19,UTR8800416,NEFT CR MYNTRA,826.34,CR
2026-08-05,UTR8800417,NEFT CR ZOMATO,2986.38,CR
2026-08-07,UTR8800418,NEFT CR NYKAA,992.9,CR
2026-08-15,UTR8800419,NEFT CR FLPKRT,4410.93,CR
2026-08-02,UTR8800420,NEFT CR BIGBSKT,2480.2,CR
2026-08-13,UTR8800421,NEFT CR RELNCE,3644.24,CR
2026-08-12,UTR8800422,NEFT CR FLPKRT,683.04,CR
2026-08-03,UTR8800423,NEFT CR AMZN-PAY,4566.8,CR
2026-08-05,UTR8800424,NEFT CR BIGBSKT,1271.28,CR
2026-08-13,UTR8800425,NEFT CR BIGBSKT,2121.02,CR
2026-08-18,UTR8800426,NEFT CR BIGBSKT,835.71,CR
2026-08-18,UTR8800427,NEFT CR MYNTRA,1003.35,CR
2026-08-01,UTR8800428,NEFT CR ZOMATO,4131.12,CR
2026-08-08,UTR8800429,NEFT CR BIGBSKT,2808.34,CR
2026-08-04,UTR8800430,NEFT CR SWIGGY,1689.0,CR
2026-08-03,UTR8800431,NEFT CR AMZN-PAY,1536.3,CR
2026-08-02,UTR8800432,NEFT CR NYKAA,3095.93,CR
2026-08-18,UTR8800433,NEFT CR BIGBSKT,2402.59,CR
2026-08-10,UTR8800434,NEFT CR SWIGGY,2686.12,CR
2026-08-11,UTR8800435,NEFT CR MYNTRA,3007.23,CR
2026-08-17,UTR8800436,NEFT CR SWIGGY,4790.03,CR
2026-08-19,UTR8800437,NEFT CR RELNCE,751.47,CR
2026-08-02,UTR8800438,NEFT CR BIGBSKT,2912.79,CR
2026-08-11,UTR8800439,NEFT CR BIGBSKT,3917.06,CR
2026-08-06,UTR8800440,NEFT CR SWIGGY,1794.94,CR
2026-08-05,UTR8800441,NEFT CR ZOMATO,1798.64,CR
2026-08-18,UTR8800442,NEFT CR BIGBSKT,4711.81,CR
2026-08-11,UTR8800443,NEFT CR ZOMATO,1598.88,CR
2026-08-03,UTR8800444,NEFT CR NYKAA,4184.9,CR
2026-08-13,UTR8800445,NEFT CR ZOMATO,710.32,CR
2026-08-07,UTR8800446,NEFT CR AMZN-PAY,4300.57,CR
2026-08-11,UTR8800447,NEFT CR ZOMATO,2578.88,CR
2026-08-07,UTR8800448,NEFT CR AMZN-PAY,1410.26,CR
2026-08-20,UTR8800449,NEFT CR NYKAA,4478.85,CR
2026-08-10,UTR8800450,NEFT CR ZOMATO,2896.32,CR
2026-08-12,UTR8800451,NEFT CR MYNTRA,1832.17,CR
2026-08-11,UTR8800452,NEFT CR NYKAA,3811.48,CR
2026-08-08,UTR8800453,NEFT CR BIGBSKT,684.9,CR
2026-08-19,UTR8800454,NEFT CR RELNCE,2901.69,CR
2026-08-11,UTR8800455,NEFT CR RELNCE,1150.86,CR
2026-08-21,UTR8800456,NEFT CR ZOMATO,2665.83,CR
2026-08-21,UTR8800457,NEFT CR NYKAA,4706.24,CR
2026-08-12,UTR8800458,NEFT CR SWIGGY,3685.45,CR
2026-08-18,UTR8800459,NEFT CR NYKAA,1289.02,CR
2026-08-03,UTR8800460,NEFT CR AMZN-PAY,4149.67,CR
2026-08-21,UTR8800461,NEFT CR AMZN-PAY,2286.28,CR
2026-08-17,UTR8800462,NEFT CR SWIGGY,525.17,CR
2026-08-01,UTR8800463,NEFT CR NYKAA,3364.51,CR
2026-08-17,UTR8800464,NEFT CR BIGBSKT,537.01,CR
2026-08-14,UTR8800465,NEFT CR RELNCE,560.11,CR
2026-08-08,UTR8800466,NEFT CR FLPKRT,2775.37,CR
2026-08-09,UTR8800467,NEFT CR RELNCE,4045.49,CR
2026-08-08,UTR8800468,NEFT CR BIGBSKT,2489.8,CR
2026-08-21,UTR8800469,NEFT CR FLPKRT,3340.27,CR
2026-08-16,UTR8800470,NEFT CR BIGBSKT,2132.44,CR
2026-08-14,UTR8800471,NEFT CR SWIGGY,846.44,CR
2026-08-02,UTR8800472,NEFT CR FLPKRT,4393.03,CR
2026-08-03,UTR8800473,NEFT CR NYKAA,1669.19,CR
2026-08-11,UTR8800474,NEFT CR AMZN-PAY,1268.54,CR
2026-08-13,UTR8800475,NEFT CR SWIGGY,3770.54,CR
2026-08-13,UTR8800476,NEFT CR ZOMATO,2959.99,CR
2026-08-03,UTR8800477,NEFT CR SWIGGY,3937.55,CR
2026-08-14,UTR8800478,NEFT CR MYNTRA,719.59,CR
2026-08-11,UTR8800479,NEFT CR BIGBSKT,4716.77,CR
2026-08-12,UTR8800480,NEFT CR NYKAA,2627.85,CR
2026-08-19,UTR8800481,NEFT CR BIGBSKT,1296.41,CR
2026-08-03,UTR8800482,NEFT CR RELNCE,3970.56,CR
2026-08-21,UTR8800483,NEFT CR BIGBSKT,3593.33,CR
2026-08-03,UTR8800484,NEFT CR MYNTRA,2060.52,CR
2026-08-09,UTR8800485,NEFT CR NYKAA,2057.1,CR
2026-08-18,UTR8800486,NEFT CR SWIGGY,2367.44,CR
2026-08-12,UTR8800487,NEFT CR FLPKRT,599.95,CR
2026-08-01,UTR8800488,NEFT CR MYNTRA,4257.32,CR
2026-08-18,UTR8800489,NEFT CR FLPKRT,3650.82,CR
2026-08-06,UTR8800490,NEFT CR SWIGGY,3478.19,CR
2026-08-03,UTR8800491,NEFT CR RELNCE,2638.84,CR
2026-08-03,UTR8800492,NEFT CR BIGBSKT,1794.35,CR
2026-08-16,UTR8800493,NEFT CR ZOMATO,3633.6,CR
2026-08-10,UTR8800494,NEFT CR NYKAA,952.43,CR
2026-08-13,UTR8800495,NEFT CR MYNTRA,4160.79,CR
2026-08-21,UTR8800496,NEFT CR BIGBSKT,4046.64,CR
2026-08-07,UTR8800497,NEFT CR MYNTRA,3119.63,CR
2026-08-10,UTR8800498,NEFT CR BIGBSKT,4715.91,CR
2026-08-08,UTR8800499,NEFT CR NYKAA,4711.71,CR
2026-08-19,UTR8800500,NEFT CR BIGBSKT,2079.37,CR
